IMD,Row,Column
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,2,1
15,2,2
16,2,3
17,2,4
18,2,5
19,2,6
20,2,7
21,2,8
22,2,9
23,2,10
24,2,11
25,2,12
26,2,13
27,3,1
28,3,2
29,3,3
30,3,4
31,3,5
32,3,6
33,3,7
34,3,8
35,3,9
36,3,10
37,3,11
38,3,12
39,3,13
40,4,1
41,4,2
42,4,3
43,4,4
44,4,5
45,4,6
46,4,7
47,4,8
48,4,9
49,4,10
50,4,11
51,4,12
52,4,13
53,5,1
54,5,2
55,5,3
56,5,4
57,5,5
58,5,6
59,5,7
60,5,8
61,5,9
62,5,10
63,5,11
64,5,12
65,5,13
66,6,1
67,6,2
68,6,3
69,6,4
70,6,5
71,6,6
72,6,7
73,6,8
74,6,9
75,6,10
76,6,11
77,6,12
78,6,13
79,7,1
80,7,2
81,7,3
82,7,4
83,7,5
84,7,6
85,7,7
86,7,8
87,7,9
88,7,10
89,7,11
90,7,12
91,7,13
92,8,1
93,8,2
94,8,3
95,8,4
96,8,5
97,8,6
98,8,7
99,8,8
100,8,9
101,8,10
102,8,11
103,8,12
104,8,13
105,9,1
106,9,2
107,9,3
108,9,4
109,9,5
110,9,6
111,9,7
112,9,8
113,9,9
114,9,10
115,9,11
116,9,12
117,9,13
118,10,1
119,10,2
120,10,3
121,10,4
122,10,5
123,10,6
124,10,7
125,10,8
126,10,9
127,10,10
128,10,11
129,10,12
130,10,13
131,11,1
132,11,2
133,11,3
134,11,4
135,11,5
136,11,6
137,11,7
138,11,8
139,11,9
140,11,10
141,11,11
142,11,12
143,11,13
144,12,1
145,12,2
146,12,3
147,12,4
148,12,5
149,12,6
150,12,7
151,12,8
152,12,9
153,12,10
154,12,11
155,12,12
156,12,13
157,13,1
158,13,2
159,13,3
160,13,4
161,13,5
162,13,6
163,13,7
164,13,8
165,13,9
166,13,10
167,13,11
168,13,12
169,13,13
170,14,1
171,14,2
172,14,3
173,14,4
174,14,5
175,14,6
176,14,7
177,14,8
178,14,9
179,14,10
180,14,11
181,14,12
182,14,13
183,15,1
184,15,2
185,15,3
186,15,4
187,15,5
188,15,6
189,15,7
190,15,8
191,15,9
192,15,10
193,15,11
194,15,12
195,15,13
196,16,1
197,16,2
198,16,3
199,16,4
200,16,5
201,16,6
202,16,7
203,16,8
204,16,9
205,16,10
206,16,11
207,16,12
208,16,13
209,17,1
210,17,2
211,17,3
212,17,4
213,17,5
214,17,6
215,17,7
216,17,8
217,17,9
218,17,10
219,17,11
220,17,12
221,17,13
222,18,1
223,18,2
224,18,3
225,18,4
226,18,5
227,18,6
228,18,7
229,18,8
230,18,9
231,18,10
232,18,11
233,18,12
234,18,13
235,19,1
236,19,2
237,19,3
238,19,4
239,19,5
240,19,6
241,19,7
242,19,8
243,19,9
244,19,10
245,19,11
246,19,12
247,19,13
248,20,1
249,20,2
250,20,3
251,20,4
252,20,5
253,20,6
254,20,7
255,20,8
256,20,9
257,20,10
258,20,11
259,20,12
260,20,13
261,21,1
262,21,2
263,21,3
264,21,4
265,21,5
266,21,6
267,21,7
268,21,8
269,21,9
270,21,10
271,21,11
272,21,12
273,21,13
274,22,1
275,22,2
276,22,3
277,22,4
278,22,5
279,22,6
280,22,7
281,22,8
282,22,9
283,22,10
284,22,11
285,22,12
286,22,13
287,23,1
288,23,2
289,23,3
290,23,4
291,23,5
292,23,6
293,23,7
294,23,8
295,23,9
296,23,10
297,23,11
298,23,12
299,23,13
300,24,1
301,24,2
302,24,3
303,24,4
304,24,5
305,24,6
306,24,7
307,24,8
308,24,9
309,24,10
310,24,11
311,24,12
312,24,13
313,25,1
314,25,2
315,25,3
316,25,4
317,25,5
318,25,6
319,25,7
320,25,8
321,25,9
322,25,10
323,25,11
324,25,12
325,25,13
326,26,1
